epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.205,1.28918,2.31104,1.75313,0.4369,0.5198,0.5106,0.28495,1.48888,2.33231,2.3194,0.000195169,0.000195169,0.000195169
2,371.681,1.3046,1.80179,1.74378,0.44635,0.4721,0.43919,0.22935,1.59484,2.02284,2.52689,0.000378261,0.000378261,0.000378261
3,574.893,1.31891,1.7894,1.74691,0.53158,0.58022,0.54692,0.31078,1.5317,1.83005,2.39565,0.000548416,0.000548416,0.000548416
4,765.117,1.31894,1.69152,1.74102,0.65138,0.59425,0.63752,0.34991,1.51655,1.58702,2.2934,0.000529788,0.000529788,0.000529788
5,936.765,1.27586,1.59092,1.70399,0.66553,0.67546,0.72079,0.41037,1.502,1.45146,2.27336,0.000510384,0.000510384,0.000510384
6,1122.48,1.24445,1.48007,1.68966,0.69695,0.67942,0.71958,0.43042,1.4758,1.40548,2.23654,0.00049098,0.00049098,0.00049098
7,1296.63,1.23428,1.45165,1.67934,0.75568,0.72966,0.803,0.48698,1.39858,1.21221,2.11934,0.000471576,0.000471576,0.000471576
8,1482.86,1.20744,1.35847,1.64925,0.7225,0.75135,0.79623,0.48696,1.43594,1.11529,2.18671,0.000452172,0.000452172,0.000452172
9,1657.52,1.19239,1.30877,1.63882,0.7583,0.7735,0.81955,0.50939,1.39273,1.07236,2.12691,0.000432768,0.000432768,0.000432768
10,1842.42,1.19035,1.28789,1.63414,0.81825,0.77168,0.83952,0.52121,1.37005,1.01555,2.09588,0.000413364,0.000413364,0.000413364
11,2017.37,1.17379,1.25305,1.61062,0.79184,0.75841,0.82216,0.50321,1.43071,1.04905,2.16985,0.00039396,0.00039396,0.00039396
12,2202.98,1.17503,1.20092,1.61574,0.79582,0.75901,0.80645,0.48435,1.44729,1.08122,2.20705,0.000374556,0.000374556,0.000374556
13,2377.43,1.15395,1.15811,1.60209,0.82758,0.79136,0.84946,0.54276,1.32837,0.89032,2.07136,0.000355152,0.000355152,0.000355152
14,2563.8,1.14266,1.14743,1.58989,0.78896,0.82289,0.85221,0.53127,1.37497,0.90326,2.11144,0.000335748,0.000335748,0.000335748
15,2737.38,1.12565,1.08655,1.5835,0.82416,0.80124,0.85387,0.55048,1.32397,0.91685,2.05702,0.000316344,0.000316344,0.000316344
16,2921.98,1.11421,1.06658,1.5679,0.84441,0.83056,0.86779,0.55755,1.33626,0.86179,2.05339,0.00029694,0.00029694,0.00029694
17,3095.06,1.09917,1.04312,1.55593,0.83226,0.81025,0.86023,0.55625,1.33515,0.84216,2.05824,0.000277536,0.000277536,0.000277536
18,3278.71,1.10032,1.01698,1.56069,0.84843,0.82394,0.87674,0.56653,1.31306,0.83911,2.02478,0.000258132,0.000258132,0.000258132
19,3452.64,1.08812,0.98358,1.54824,0.83444,0.83914,0.8729,0.56768,1.32106,0.83257,2.03365,0.000238728,0.000238728,0.000238728
20,3636.07,1.08118,0.97909,1.55096,0.85728,0.84024,0.87742,0.56174,1.33914,0.78761,2.03836,0.000219324,0.000219324,0.000219324
21,3867.52,1.03012,0.80152,1.72483,0.85337,0.84569,0.88538,0.57651,1.30855,0.77026,2.02066,0.00019992,0.00019992,0.00019992
22,4051.49,1.00716,0.74802,1.70556,0.84423,0.84845,0.87983,0.57336,1.31178,0.75581,2.01969,0.000180516,0.000180516,0.000180516
23,4222.15,0.971,0.68839,1.6711,0.8611,0.86792,0.89228,0.58975,1.29447,0.73384,2.01254,0.000161112,0.000161112,0.000161112
24,4403.98,0.96998,0.64916,1.65863,0.87142,0.83427,0.88772,0.58379,1.29696,0.74815,2.01609,0.000141708,0.000141708,0.000141708
25,4574.31,0.96112,0.65082,1.65764,0.86957,0.85505,0.8896,0.58886,1.30446,0.71763,2.00484,0.000122304,0.000122304,0.000122304
26,4756.42,0.93556,0.60922,1.6226,0.88213,0.84432,0.88994,0.58713,1.3042,0.7092,2.02113,0.0001029,0.0001029,0.0001029
27,4930.97,0.90898,0.5752,1.59767,0.85858,0.85187,0.88661,0.58685,1.30489,0.71607,2.02191,8.3496e-05,8.3496e-05,8.3496e-05
28,5112.17,0.89246,0.54213,1.58834,0.87864,0.85393,0.89238,0.58774,1.31084,0.7041,2.04153,6.4092e-05,6.4092e-05,6.4092e-05
29,5282.09,0.86265,0.51325,1.56566,0.87203,0.86747,0.89247,0.59177,1.30422,0.69202,2.031,4.4688e-05,4.4688e-05,4.4688e-05
30,5465.28,0.85382,0.49867,1.54231,0.88566,0.85998,0.897,0.59142,1.30881,0.68294,2.04319,2.5284e-05,2.5284e-05,2.5284e-05
